patent_id,title,abstract,claims,dominant_domain,cpc_code,cpc_title
US11847658B2,Statistical Pattern Recognition Architecture for High-Frequency Data Vector Mining (Spec #016 - Ref_153),"A computer-implemented system configured to receive input feature vectors, apply dimensionality reduction, and evaluate statistical classifier loss metrics. Section iteration 16 validates scalability across distributed node clusters and low-power hardware.","1. A pattern recognition system comprising a data processor, memory storing a machine learning classifier model, and instructions to evaluate probability distributions over feature spaces. 2. The system of claim 1, further comprising automated feature selection step #16.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11849500B2,Therapeutic Small Molecule Inhibitor Composition for Targeted Enzyme Binding (Spec #004 - Ref_944),Novel medicinal formulations comprising organic therapeutic inhibitors combined with pharmaceutically acceptable excipients to achieve controlled therapeutic dosage profiles. Section iteration 4 validates scalability across distributed node clusters and low-power hardware.,"1. An oral drug delivery system comprising an active medicinal compound, a bioadhesive polymer coat, and a pH-dependent enteric release layer. 2. The system of claim 1, further comprising automated feature selection step #4.",Pharmaceuticals & Medicinal Chemistry,A61K 31/00,"Pharmaceutical preparations, medicinal compounds, controlled release formulations"
US11850381B2,Autonomous Vehicle Lane Keeping Assistance and Automated Steering Controller (Spec #014 - Ref_553),"An autonomous vehicle control system integrating front-facing camera feeds, radar ranging data, and wheel speed telemetry to execute collision mitigation maneuvers. Section iteration 14 validates scalability across distributed node clusters and low-power hardware.","1. An automated vehicle control system comprising lateral steering controllers, longitudinal speed managers, and sensor fusion modules. 2. The system of claim 1, further comprising automated feature selection step #14.",Automotive & Autonomous Vehicles,B60W 30/00,"Autonomous vehicle guidance, driver assistance, automated steering control"
US11848733B2,Recombinant Plasmid Vector for Targeted CRISPR-Cas9 Gene Editing Assays (Spec #004 - Ref_960),"Genetic engineering constructs and recombinant DNA vectors optimized for targeted nucleotide cleavage, genomic sequence editing, and gene expression modulation. Section iteration 4 validates scalability across distributed node clusters and low-power hardware.","1. An engineered DNA vector comprising an expression cassette, a selectable marker gene, and site-specific recombination target sequences. 2. The system of claim 1, further comprising automated feature selection step #4.",Biotechnology & Genomics,C12N 15/09,"Recombinant DNA technology, genetic engineering vectors, nucleic acid mutation"
US11851192B2,Extreme Ultraviolet Lithography Method for Sub-3nm Semiconductor Gate Patterning (Spec #026 - Ref_576),Semiconductor manufacturing methods featuring advanced plasma etching and extreme ultraviolet lithography techniques for fabricating nanoscale FinFET transistor gates. Section iteration 26 validates scalability across distributed node clusters and low-power hardware.,"1. A method of manufacturing a semiconductor device comprising forming fin structures on a silicon substrate, depositing gate dielectrics, and etching gate electrodes. 2. The system of claim 1, further comprising automated feature selection step #26.",Semiconductors & Integrated Circuits,H01L 21/00,"Semiconductor device fabrication, lithography, integrated circuit processing"
US11850535B2,Predictive Emergency Braking System for Electric Vehicles Using Radar Sensor Fusion (Spec #037 - Ref_220),Advanced driver assistance systems for electric vehicles comprising sensor fusion processors configured to compute dynamic vehicle trajectories and actuate automated steering. Section iteration 37 validates scalability across distributed node clusters and low-power hardware.,"1. An autonomous vehicle guidance system comprising a LIDAR sensor, a camera processor, and an electronic control unit configured to actuate steering and braking systems. 2. The system of claim 1, further comprising automated feature selection step #37.",Automotive & Autonomous Vehicles,B60W 30/00,"Autonomous vehicle guidance, driver assistance, automated steering control"
US11850646B2,Electrochemical Biosensor Cartridge for Quantitative Blood Glucose and Biomarker Measurement (Spec #004 - Ref_114),A portable medical diagnostic device comprising electrochemical sensor strips and micro-controller circuitry calibrated for rapid analyte concentration measurement. Section iteration 4 validates scalability across distributed node clusters and low-power hardware.,"1. A point-of-care medical diagnostic instrument comprising fluidic actuators, temperature control elements, and fluorescence detection optics. 2. The system of claim 1, further comprising automated feature selection step #4.",Medical Devices & Healthcare Technology,G01N 33/50,"Biological assay testing, biosensors, chemical analysis diagnostic devices"
US11848078B2,Spiking Neural Network Processor with On-Chip Synaptic Weight Memory (Spec #021 - Ref_768),A hardware accelerator chip comprising an array of processing elements configured to execute parallel matrix-vector multiplications for artificial neural networks. Section iteration 21 validates scalability across distributed node clusters and low-power hardware.,"1. A hardware accelerator chip comprising a matrix multiplication unit, activation function logic, and high-bandwidth memory interfaces configured for neural network inference. 2. The system of claim 1, further comprising automated feature selection step #21.",Artificial Intelligence & Machine Learning,G06N 3/02,"Neural network hardware architectures, artificial neural networks, computing chips"
US11851318B2,Plasma Atomic Layer Deposition Process for Ultra-Thin Dielectric Film Layers (Spec #040 - Ref_244),A process for depositing high-k dielectric layers on silicon substrates using atomic layer deposition chambers with precise precursor gas pulses. Section iteration 40 validates scalability across distributed node clusters and low-power hardware.,"1. A semiconductor processing chamber comprising gas distribution showerheads, plasma generation electrodes, and vacuum exhaust systems. 2. The system of claim 1, further comprising automated feature selection step #40.",Semiconductors & Integrated Circuits,H01L 21/00,"Semiconductor device fabrication, lithography, integrated circuit processing"
US11850641B2,Point-of-Care Diagnostic Assay System for Pathogen Nucleic Acid Amplification (Spec #003 - Ref_448),"A microfluidic biochip system featuring capillary fluidic channels, reagent storage reservoirs, and integrated photodiode detection arrays. Section iteration 3 validates scalability across distributed node clusters and low-power hardware.","1. A point-of-care medical diagnostic instrument comprising fluidic actuators, temperature control elements, and fluorescence detection optics. 2. The system of claim 1, further comprising automated feature selection step #3.",Medical Devices & Healthcare Technology,G01N 33/50,"Biological assay testing, biosensors, chemical analysis diagnostic devices"
US11850886B2,Surface Plasmon Resonance Biosensor Device for Real-Time Protein Binding Kinetics (Spec #037 - Ref_114),"A microfluidic biochip system featuring capillary fluidic channels, reagent storage reservoirs, and integrated photodiode detection arrays. Section iteration 37 validates scalability across distributed node clusters and low-power hardware.","1. A diagnostic biosensor device comprising a sample inlet, microfluidic reaction channels containing immobilised capture probes, and an optical photodetector. 2. The system of claim 1, further comprising automated feature selection step #37.",Medical Devices & Healthcare Technology,G01N 33/50,"Biological assay testing, biosensors, chemical analysis diagnostic devices"
US11847552B2,Supervised Machine Learning Classifier with Dynamic Loss Function Optimization (Spec #004 - Ref_790),Methods and systems for training multi-layer neural network classifiers using dynamic feature extraction from multi-modal sensor arrays to optimize pattern recognition performance. Section iteration 4 validates scalability across distributed node clusters and low-power hardware.,"1. An automated classification apparatus comprising input interfaces configured to capture raw telemetry, feature selection modules, and a statistical classifier generating class predictions. 2. The system of claim 1, further comprising automated feature selection step #4.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11850444B2,Autonomous Vehicle Lane Keeping Assistance and Automated Steering Controller (Spec #023 - Ref_301),Advanced driver assistance systems for electric vehicles comprising sensor fusion processors configured to compute dynamic vehicle trajectories and actuate automated steering. Section iteration 23 validates scalability across distributed node clusters and low-power hardware.,"1. A vehicle safety apparatus comprising radar ranging sensors, brake actuators, and dynamic collision risk prediction software. 2. The system of claim 1, further comprising automated feature selection step #23.",Automotive & Autonomous Vehicles,B60W 30/00,"Autonomous vehicle guidance, driver assistance, automated steering control"
US11849597B2,Liposomal Pharmaceutical Suspension for Enhanced Bioavailability and Transdermal Delivery (Spec #018 - Ref_207),A pharmaceutical composition comprising active therapeutic compounds encapsulated within micro-polymeric matrices designed for extended systemic absorption. Section iteration 18 validates scalability across distributed node clusters and low-power hardware.,"1. A therapeutic formulation comprising effective amounts of an enzymatic inhibitor compound combined with stabilizing excipient salts. 2. The system of claim 1, further comprising automated feature selection step #18.",Pharmaceuticals & Medicinal Chemistry,A61K 31/00,"Pharmaceutical preparations, medicinal compounds, controlled release formulations"
US11847994B2,Neuromorphic Computing Chip Featuring Parallel Synaptic Interconnect Arrays (Spec #008 - Ref_183),Integrated circuit architectures featuring systolic array multiplier units optimized for low-latency deep learning inference on edge computer vision devices. Section iteration 8 validates scalability across distributed node clusters and low-power hardware.,"1. An integrated circuit comprising an array of digital signal processors, on-chip SRAM weight buffers, and control logic executing neural network layers. 2. The system of claim 1, further comprising automated feature selection step #8.",Artificial Intelligence & Machine Learning,G06N 3/02,"Neural network hardware architectures, artificial neural networks, computing chips"
US11847978B2,Neuromorphic Computing Chip Featuring Parallel Synaptic Interconnect Arrays (Spec #005 - Ref_307),A hardware accelerator chip comprising an array of processing elements configured to execute parallel matrix-vector multiplications for artificial neural networks. Section iteration 5 validates scalability across distributed node clusters and low-power hardware.,"1. An integrated circuit comprising an array of digital signal processors, on-chip SRAM weight buffers, and control logic executing neural network layers. 2. The system of claim 1, further comprising automated feature selection step #5.",Artificial Intelligence & Machine Learning,G06N 3/02,"Neural network hardware architectures, artificial neural networks, computing chips"
US11848995B2,Recombinant Plasmid Vector for Targeted CRISPR-Cas9 Gene Editing Assays (Spec #038 - Ref_817),Recombinant genetic vectors comprising synthetic promoter regions and ribosomal binding sites engineered for elevated recombinant protein expression. Section iteration 38 validates scalability across distributed node clusters and low-power hardware.,"1. A recombinant nucleic acid molecule comprising a promoter sequence, a guide RNA targeting domain, and a Cas9 endonuclease coding sequence configured for genome editing. 2. The system of claim 1, further comprising automated feature selection step #38.",Biotechnology & Genomics,C12N 15/09,"Recombinant DNA technology, genetic engineering vectors, nucleic acid mutation"
US11848703B2,Synthetic Messenger RNA Construct with Enhanced Ribosomal Translation Efficiency (Spec #001 - Ref_139),Synthetic nucleic acid constructs encoding Cas endonuclease proteins and guide RNA sequences for high-efficiency eukaryotic genome modification. Section iteration 1 validates scalability across distributed node clusters and low-power hardware.,"1. A recombinant nucleic acid molecule comprising a promoter sequence, a guide RNA targeting domain, and a Cas9 endonuclease coding sequence configured for genome editing. 2. The system of claim 1, further comprising automated feature selection step #1.",Biotechnology & Genomics,C12N 15/09,"Recombinant DNA technology, genetic engineering vectors, nucleic acid mutation"
US11850972B2,Optofluidic Assay Platform for High-Throughput Single-Cell Fluorescence Monitoring (Spec #047 - Ref_348),A portable medical diagnostic device comprising electrochemical sensor strips and micro-controller circuitry calibrated for rapid analyte concentration measurement. Section iteration 47 validates scalability across distributed node clusters and low-power hardware.,"1. An electrochemical assay cartridge comprising working and reference electrodes coated with enzymatic reagent layers and readout electronics. 2. The system of claim 1, further comprising automated feature selection step #47.",Medical Devices & Healthcare Technology,G01N 33/50,"Biological assay testing, biosensors, chemical analysis diagnostic devices"
US11847627B2,Supervised Machine Learning Classifier with Dynamic Loss Function Optimization (Spec #013 - Ref_253),"A computer-implemented system configured to receive input feature vectors, apply dimensionality reduction, and evaluate statistical classifier loss metrics. Section iteration 13 validates scalability across distributed node clusters and low-power hardware.","1. An automated classification apparatus comprising input interfaces configured to capture raw telemetry, feature selection modules, and a statistical classifier generating class predictions. 2. The system of claim 1, further comprising automated feature selection step #13.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11849763B2,Nanoparticulate Drug Delivery Carrier for Targeted Active Ingredient Release (Spec #041 - Ref_928),"Therapeutic pharmaceutical formulations comprising lipid nanoparticle carriers for enhanced bioavailability, controlled gastric dissolution, and targeted active ingredient release. Section iteration 41 validates scalability across distributed node clusters and low-power hardware.","1. An oral drug delivery system comprising an active medicinal compound, a bioadhesive polymer coat, and a pH-dependent enteric release layer. 2. The system of claim 1, further comprising automated feature selection step #41.",Pharmaceuticals & Medicinal Chemistry,A61K 31/00,"Pharmaceutical preparations, medicinal compounds, controlled release formulations"
US11851306B2,Extreme Ultraviolet Lithography Method for Sub-3nm Semiconductor Gate Patterning (Spec #039 - Ref_859),Semiconductor manufacturing methods featuring advanced plasma etching and extreme ultraviolet lithography techniques for fabricating nanoscale FinFET transistor gates. Section iteration 39 validates scalability across distributed node clusters and low-power hardware.,"1. A method of manufacturing a semiconductor device comprising forming fin structures on a silicon substrate, depositing gate dielectrics, and etching gate electrodes. 2. The system of claim 1, further comprising automated feature selection step #39.",Semiconductors & Integrated Circuits,H01L 21/00,"Semiconductor device fabrication, lithography, integrated circuit processing"
US11848720B2,Multiplexed Guide RNA Gene Delivery Architecture for Therapeutic Endonuclease Expression (Spec #003 - Ref_203),Synthetic nucleic acid constructs encoding Cas endonuclease proteins and guide RNA sequences for high-efficiency eukaryotic genome modification. Section iteration 3 validates scalability across distributed node clusters and low-power hardware.,"1. An engineered DNA vector comprising an expression cassette, a selectable marker gene, and site-specific recombination target sequences. 2. The system of claim 1, further comprising automated feature selection step #3.",Biotechnology & Genomics,C12N 15/09,"Recombinant DNA technology, genetic engineering vectors, nucleic acid mutation"
US11851892B2,Electronic Health Record NLP Analytics Engine for Automated Clinical Coding (Spec #011 - Ref_535),"A health telemetry processing platform comprising wearable patient sensors, cloud data ingest engines, and machine learning models trained on physiological time-series. Section iteration 11 validates scalability across distributed node clusters and low-power hardware.","1. A medical decision support apparatus comprising memory storing patient health records, clinical guideline rule engines, and machine learning risk scoring processors. 2. The system of claim 1, further comprising automated feature selection step #11.",Software & Distributed Systems,G16H 50/20,"Healthcare data processing, AI medical decision support, clinical analytics"
US11848400B2,Elliptic Curve Cryptographic Authentication Scheme for Distributed Microservice APIs (Spec #012 - Ref_124),A cryptographic security framework utilizing zero-knowledge proof primitives and elliptic curve digital signatures for decentralized token verification across public ledgers. Section iteration 12 validates scalability across distributed node clusters and low-power hardware.,"1. A cryptographic authentication system comprising key generation modules, signature verification processors, and zero-knowledge proof verification algorithms. 2. The system of claim 1, further comprising automated feature selection step #12.","Cryptography, Cybersecurity & Blockchain",H04L 9/32,"Digital signatures, message authentication, cryptographic security protocols"
US11849037B2,Recombinant Plasmid Vector for Targeted CRISPR-Cas9 Gene Editing Assays (Spec #043 - Ref_528),Recombinant genetic vectors comprising synthetic promoter regions and ribosomal binding sites engineered for elevated recombinant protein expression. Section iteration 43 validates scalability across distributed node clusters and low-power hardware.,"1. An engineered DNA vector comprising an expression cassette, a selectable marker gene, and site-specific recombination target sequences. 2. The system of claim 1, further comprising automated feature selection step #43.",Biotechnology & Genomics,C12N 15/09,"Recombinant DNA technology, genetic engineering vectors, nucleic acid mutation"
US11851022B2,3D FinFET Transistor Fabrication Process Featuring Gate-All-Around Architecture (Spec #007 - Ref_182),Semiconductor manufacturing methods featuring advanced plasma etching and extreme ultraviolet lithography techniques for fabricating nanoscale FinFET transistor gates. Section iteration 7 validates scalability across distributed node clusters and low-power hardware.,"1. An integrated circuit fabrication process comprising etching through-silicon vias, depositing barrier metal layers, and electroplating copper interconnects. 2. The system of claim 1, further comprising automated feature selection step #7.",Semiconductors & Integrated Circuits,H01L 21/00,"Semiconductor device fabrication, lithography, integrated circuit processing"
US11848367B2,Zero-Knowledge Proof Tokenization Framework for Secure Identity Verification (Spec #009 - Ref_284),A decentralized blockchain protocol configured to validate digital transaction blocks using multi-signature cryptographic schemes. Section iteration 9 validates scalability across distributed node clusters and low-power hardware.,"1. A secure transaction verification system comprising memory storing private cryptographic keys, token hashing logic, and distributed consensus validation protocols. 2. The system of claim 1, further comprising automated feature selection step #9.","Cryptography, Cybersecurity & Blockchain",H04L 9/32,"Digital signatures, message authentication, cryptographic security protocols"
US11851785B2,Facial Feature Extraction and Biometric Verification Engine for Video Surveillance (Spec #048 - Ref_278),"An image processing system configured to receive multi-camera video streams, apply stereoscopic correspondence algorithms, and construct 3D point cloud representations. Section iteration 48 validates scalability across distributed node clusters and low-power hardware.","1. A 3D vision system comprising stereoscopic cameras, depth map calculation units, and point cloud feature extraction processors. 2. The system of claim 1, further comprising automated feature selection step #48.",Computer Vision & Image Processing,G06T 7/00,"Computer vision, image segmentation, pattern analysis, video stream processing"
US11850636B2,Optofluidic Assay Platform for High-Throughput Single-Cell Fluorescence Monitoring (Spec #002 - Ref_366),"A microfluidic biochip system featuring capillary fluidic channels, reagent storage reservoirs, and integrated photodiode detection arrays. Section iteration 2 validates scalability across distributed node clusters and low-power hardware.","1. An electrochemical assay cartridge comprising working and reference electrodes coated with enzymatic reagent layers and readout electronics. 2. The system of claim 1, further comprising automated feature selection step #2.",Medical Devices & Healthcare Technology,G01N 33/50,"Biological assay testing, biosensors, chemical analysis diagnostic devices"
US11850221B2,Ultra-Low Latency Wireless Packet Transmission Architecture for OFDM Networks (Spec #046 - Ref_553),A wireless transceiver system operating in unlicensed millimeter-wave frequencies utilizing spatial division multiplexing and digital pre-distortion. Section iteration 46 validates scalability across distributed node clusters and low-power hardware.,"1. A cellular transmission system comprising base station controllers, channel state feedback analyzers, and adaptive power control circuits. 2. The system of claim 1, further comprising automated feature selection step #46.",Telecommunications & Wireless Networks,H04W 84/12,"Wireless local area networks, Wi-Fi protocols, 5G/6G cellular transmission"
US11851001B2,3D FinFET Transistor Fabrication Process Featuring Gate-All-Around Architecture (Spec #003 - Ref_473),A process for depositing high-k dielectric layers on silicon substrates using atomic layer deposition chambers with precise precursor gas pulses. Section iteration 3 validates scalability across distributed node clusters and low-power hardware.,"1. A method of manufacturing a semiconductor device comprising forming fin structures on a silicon substrate, depositing gate dielectrics, and etching gate electrodes. 2. The system of claim 1, further comprising automated feature selection step #3.",Semiconductors & Integrated Circuits,H01L 21/00,"Semiconductor device fabrication, lithography, integrated circuit processing"
US11849408B2,Autonomous Vertical Takeoff and Landing (VTOL) Flight Control Computer (Spec #041 - Ref_351),Avionics control architectures for autonomous quadcopter UAV drones featuring real-time altitude telemetry sensor fusion and dynamic trajectory optimization. Section iteration 41 validates scalability across distributed node clusters and low-power hardware.,"1. An autonomous unmanned aerial vehicle comprising a flight control processor, rotor actuators, and sensors configured to compute dynamic aerodynamic trajectories. 2. The system of claim 1, further comprising automated feature selection step #41.",Aerospace & Drone Avionics,B64C 39/02,"Unmanned aerial vehicles, quadcopter drone flight control, rotor craft"
US11850069B2,Dynamic Channel Allocation Protocol for 5G Millimeter Wave Base Stations (Spec #029 - Ref_298),A wireless transceiver system operating in unlicensed millimeter-wave frequencies utilizing spatial division multiplexing and digital pre-distortion. Section iteration 29 validates scalability across distributed node clusters and low-power hardware.,"1. A cellular transmission system comprising base station controllers, channel state feedback analyzers, and adaptive power control circuits. 2. The system of claim 1, further comprising automated feature selection step #29.",Telecommunications & Wireless Networks,H04W 84/12,"Wireless local area networks, Wi-Fi protocols, 5G/6G cellular transmission"
US11847902B2,Statistical Pattern Recognition Architecture for High-Frequency Data Vector Mining (Spec #047 - Ref_755),Methods and systems for training multi-layer neural network classifiers using dynamic feature extraction from multi-modal sensor arrays to optimize pattern recognition performance. Section iteration 47 validates scalability across distributed node clusters and low-power hardware.,"1. A computer-implemented method comprising receiving sensor data streams, generating feature vectors using a convolutional neural network layer, and computing loss functions based on multi-task attention mechanisms. 2. The system of claim 1, further comprising automated feature selection step #47.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11850442B2,Predictive Emergency Braking System for Electric Vehicles Using Radar Sensor Fusion (Spec #022 - Ref_824),"An autonomous vehicle control system integrating front-facing camera feeds, radar ranging data, and wheel speed telemetry to execute collision mitigation maneuvers. Section iteration 22 validates scalability across distributed node clusters and low-power hardware.","1. An autonomous vehicle guidance system comprising a LIDAR sensor, a camera processor, and an electronic control unit configured to actuate steering and braking systems. 2. The system of claim 1, further comprising automated feature selection step #22.",Automotive & Autonomous Vehicles,B60W 30/00,"Autonomous vehicle guidance, driver assistance, automated steering control"
US11849242B2,Autonomous Flight Trajectory Control System for Multi-Rotor Unmanned Aerial Vehicles (Spec #021 - Ref_353),A flight control computer configured to adjust multi-rotor motor speeds based on Kalman-filtered inertial measurement unit data. Section iteration 21 validates scalability across distributed node clusters and low-power hardware.,"1. An aerial drone navigation apparatus comprising obstacle detection sensors, wireless telemetry links, and trajectory planning algorithms. 2. The system of claim 1, further comprising automated feature selection step #21.",Aerospace & Drone Avionics,B64C 39/02,"Unmanned aerial vehicles, quadcopter drone flight control, rotor craft"
US11848411B2,Post-Quantum Public Key Cryptographic Infrastructure for Network Authentication (Spec #013 - Ref_836),Methods for establishing secure mutual authentication between distributed network nodes using zero-knowledge identity assertions and cryptographic key exchange. Section iteration 13 validates scalability across distributed node clusters and low-power hardware.,"1. A cryptographic authentication system comprising key generation modules, signature verification processors, and zero-knowledge proof verification algorithms. 2. The system of claim 1, further comprising automated feature selection step #13.","Cryptography, Cybersecurity & Blockchain",H04L 9/32,"Digital signatures, message authentication, cryptographic security protocols"
US11848190B2,Hardware Inference Accelerator with Quantized Neural Network Processing Units (Spec #036 - Ref_752),Integrated circuit architectures featuring systolic array multiplier units optimized for low-latency deep learning inference on edge computer vision devices. Section iteration 36 validates scalability across distributed node clusters and low-power hardware.,"1. A hardware accelerator chip comprising a matrix multiplication unit, activation function logic, and high-bandwidth memory interfaces configured for neural network inference. 2. The system of claim 1, further comprising automated feature selection step #36.",Artificial Intelligence & Machine Learning,G06N 3/02,"Neural network hardware architectures, artificial neural networks, computing chips"
US11851746B2,Semantic Image Segmentation Architecture for High-Resolution Medical Scans (Spec #043 - Ref_328),"Computer vision methods and systems for segmenting digital video frames, bounding detected objects, and computing feature trajectories using deep neural networks. Section iteration 43 validates scalability across distributed node clusters and low-power hardware.","1. A 3D vision system comprising stereoscopic cameras, depth map calculation units, and point cloud feature extraction processors. 2. The system of claim 1, further comprising automated feature selection step #43.",Computer Vision & Image Processing,G06T 7/00,"Computer vision, image segmentation, pattern analysis, video stream processing"
US11849464B2,Autonomous Flight Trajectory Control System for Multi-Rotor Unmanned Aerial Vehicles (Spec #050 - Ref_566),An autonomous unmanned aircraft system utilizing LIDAR and ultrasonic range sensors to navigate complex urban airspace while avoiding static and dynamic obstacles. Section iteration 50 validates scalability across distributed node clusters and low-power hardware.,"1. An autonomous unmanned aerial vehicle comprising a flight control processor, rotor actuators, and sensors configured to compute dynamic aerodynamic trajectories. 2. The system of claim 1, further comprising automated feature selection step #50.",Aerospace & Drone Avionics,B64C 39/02,"Unmanned aerial vehicles, quadcopter drone flight control, rotor craft"
US11851686B2,Semantic Image Segmentation Architecture for High-Resolution Medical Scans (Spec #036 - Ref_700),"Automated optical inspection systems utilizing high-resolution image sensors, spatial filtering algorithms, and pattern matching models to detect surface defects. Section iteration 36 validates scalability across distributed node clusters and low-power hardware.","1. A computer vision system comprising an image sensor, a GPU frame processor, and software modules configured to segment image frames and classify detected objects. 2. The system of claim 1, further comprising automated feature selection step #36.",Computer Vision & Image Processing,G06T 7/00,"Computer vision, image segmentation, pattern analysis, video stream processing"
US11851980B2,Electronic Health Record NLP Analytics Engine for Automated Clinical Coding (Spec #023 - Ref_769),Methods for analyzing unstructured clinical progress notes using natural language processing to extract diagnostic codes and recommend therapeutic interventions. Section iteration 23 validates scalability across distributed node clusters and low-power hardware.,"1. A patient monitoring system comprising biosensor telemetry inputs, anomaly detection software algorithms, and automated clinical notification modules. 2. The system of claim 1, further comprising automated feature selection step #23.",Software & Distributed Systems,G16H 50/20,"Healthcare data processing, AI medical decision support, clinical analytics"
US11847606B2,Automated Pattern Recognition System Using High-Dimensional Feature Vectors (Spec #011 - Ref_654),Methods and systems for training multi-layer neural network classifiers using dynamic feature extraction from multi-modal sensor arrays to optimize pattern recognition performance. Section iteration 11 validates scalability across distributed node clusters and low-power hardware.,"1. A pattern recognition system comprising a data processor, memory storing a machine learning classifier model, and instructions to evaluate probability distributions over feature spaces. 2. The system of claim 1, further comprising automated feature selection step #11.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11849664B2,Sustained-Release Pharmaceutical Matrix Formulated with Hydrophilic Polymer Excipients (Spec #028 - Ref_587),Novel medicinal formulations comprising organic therapeutic inhibitors combined with pharmaceutically acceptable excipients to achieve controlled therapeutic dosage profiles. Section iteration 28 validates scalability across distributed node clusters and low-power hardware.,"1. A pharmaceutical composition comprising a therapeutic active ingredient encapsulated within solid lipid nanoparticles and a pharmaceutically acceptable carrier. 2. The system of claim 1, further comprising automated feature selection step #28.",Pharmaceuticals & Medicinal Chemistry,A61K 31/00,"Pharmaceutical preparations, medicinal compounds, controlled release formulations"
US11847721B2,System and Method for Deep Learning Feature Classification in Multi-Modal Sensor Networks (Spec #023 - Ref_824),"A computer-implemented system configured to receive input feature vectors, apply dimensionality reduction, and evaluate statistical classifier loss metrics. Section iteration 23 validates scalability across distributed node clusters and low-power hardware.","1. A pattern recognition system comprising a data processor, memory storing a machine learning classifier model, and instructions to evaluate probability distributions over feature spaces. 2. The system of claim 1, further comprising automated feature selection step #23.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11849458B2,Avionics Telemetry Sensor Fusion Unit for UAV Altitude and Position Stabilization (Spec #048 - Ref_863),A flight control computer configured to adjust multi-rotor motor speeds based on Kalman-filtered inertial measurement unit data. Section iteration 48 validates scalability across distributed node clusters and low-power hardware.,"1. An aerial drone navigation apparatus comprising obstacle detection sensors, wireless telemetry links, and trajectory planning algorithms. 2. The system of claim 1, further comprising automated feature selection step #48.",Aerospace & Drone Avionics,B64C 39/02,"Unmanned aerial vehicles, quadcopter drone flight control, rotor craft"
US11851355B2,Extreme Ultraviolet Lithography Method for Sub-3nm Semiconductor Gate Patterning (Spec #045 - Ref_491),A process for depositing high-k dielectric layers on silicon substrates using atomic layer deposition chambers with precise precursor gas pulses. Section iteration 45 validates scalability across distributed node clusters and low-power hardware.,"1. An integrated circuit fabrication process comprising etching through-silicon vias, depositing barrier metal layers, and electroplating copper interconnects. 2. The system of claim 1, further comprising automated feature selection step #45.",Semiconductors & Integrated Circuits,H01L 21/00,"Semiconductor device fabrication, lithography, integrated circuit processing"
US11847679B2,Multi-Layer Neural Network Classifier for Real-Time Sensor Data Streams (Spec #018 - Ref_842),"A computer-implemented system configured to receive input feature vectors, apply dimensionality reduction, and evaluate statistical classifier loss metrics. Section iteration 18 validates scalability across distributed node clusters and low-power hardware.","1. An automated classification apparatus comprising input interfaces configured to capture raw telemetry, feature selection modules, and a statistical classifier generating class predictions. 2. The system of claim 1, further comprising automated feature selection step #18.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
US11851697B2,Facial Feature Extraction and Biometric Verification Engine for Video Surveillance (Spec #037 - Ref_384),"An image processing system configured to receive multi-camera video streams, apply stereoscopic correspondence algorithms, and construct 3D point cloud representations. Section iteration 37 validates scalability across distributed node clusters and low-power hardware.","1. An image processing method comprising receiving digital video frames, computing optical flow vectors, and generating object bounding box coordinates. 2. The system of claim 1, further comprising automated feature selection step #37.",Computer Vision & Image Processing,G06T 7/00,"Computer vision, image segmentation, pattern analysis, video stream processing"
US11850918B2,Surface Plasmon Resonance Biosensor Device for Real-Time Protein Binding Kinetics (Spec #040 - Ref_273),"A microfluidic biochip system featuring capillary fluidic channels, reagent storage reservoirs, and integrated photodiode detection arrays. Section iteration 40 validates scalability across distributed node clusters and low-power hardware.","1. An electrochemical assay cartridge comprising working and reference electrodes coated with enzymatic reagent layers and readout electronics. 2. The system of claim 1, further comprising automated feature selection step #40.",Medical Devices & Healthcare Technology,G01N 33/50,"Biological assay testing, biosensors, chemical analysis diagnostic devices"
US11847529B2,System and Method for Deep Learning Feature Classification in Multi-Modal Sensor Networks (Spec #002 - Ref_466),"A computer-implemented system configured to receive input feature vectors, apply dimensionality reduction, and evaluate statistical classifier loss metrics. Section iteration 2 validates scalability across distributed node clusters and low-power hardware.","1. A computer-implemented method comprising receiving sensor data streams, generating feature vectors using a convolutional neural network layer, and computing loss functions based on multi-task attention mechanisms. 2. The system of claim 1, further comprising automated feature selection step #2.",Artificial Intelligence & Machine Learning,G06F 18/20,"Pattern recognition, machine learning classifiers, statistical feature extraction"
